,0
ivol_capm_252d,146.0
betabab_1260d,146.0
rvol_21d,144.0
betadown_252d,142.5
rmax5_21d,142.0
bidaskhl_21d,140.5
beta_60m,139.5
prc_highprc_252d,139.5
ivol_capm_21d,139.0
ivol_ff3_21d,136.5
turnover_126d,136.0
zero_trades_126d,134.5
ivol_hxz4_21d,134.5
seas_1_1na,133.5
ret_12_1,133.0
ret_9_1,133.0
beta_dimson_21d,130.0
zero_trades_21d,130.0
rmax1_21d,129.0
zero_trades_252d,128.0
ret_6_1,127.5
div12m_me,124.5
corr_1260d,124.0
at_me,122.5
ret_3_1,121.5
cash_at,120.0
ni_me,117.5
ret_12_7,115.5
eqnpo_me,114.5
ret_1_0,113.5
age,112.5
seas_2_5na,110.5
mispricing_perf,110.0
gp_atl1,109.0
gp_at,107.0
ni_ivol,107.0
aliq_at,107.0
be_me,107.0
ocf_me,107.0
eq_dur,106.0
bev_mev,105.5
seas_1_1an,102.5
op_atl1,101.5
eqpo_me,101.5
ret_60_12,101.0
sale_me,100.0
op_at,99.5
ebitda_mev,99.0
be_gr1a,97.0
eqnpo_12m,96.5
qmj_safety,95.0
aliq_mat,94.5
eqnetis_at,94.0
at_turnover,93.5
debt_me,93.0
fcf_me,93.0
ocf_at,89.5
z_score,88.5
niq_at,88.0
netdebt_me,87.0
rd5_at,87.0
opex_at,87.0
qmj,86.5
tangibility,83.5
qmj_prof,83.5
cop_atl1,82.5
sale_gr1,81.0
saleq_gr1,80.5
resff3_12_1,80.5
rd_sale,77.5
o_score,77.0
mispricing_mgmt,76.0
ebit_sale,73.5
cop_at,73.0
f_score,73.0
coa_gr1a,73.0
emp_gr1,70.5
col_gr1a,70.0
seas_2_5an,68.5
rd_me,68.0
chcsho_12m,67.5
ppeinv_gr1a,66.5
coskew_21d,65.5
noa_at,64.5
qmj_growth,63.5
resff3_6_1,63.0
at_gr1,62.5
oaccruals_at,62.5
at_be,60.5
rmax5_rvol_21d,60.5
sale_gr3,59.0
netis_at,58.5
ncoa_gr1a,54.5
intrinsic_value,51.5
ni_be,50.0
capx_gr1,49.5
dolvol_var_126d,49.0
niq_at_chg1,49.0
nncoa_gr1a,48.5
market_equity,47.5
kz_index,45.0
ebit_bev,44.5
niq_be,44.5
capx_gr2,44.0
noa_gr1a,43.5
dsale_dsga,42.0
turnover_var_126d,41.0
inv_gr1a,41.0
ope_be,39.5
dolvol_126d,39.0
sti_gr1a,39.0
capx_gr3,38.5
tax_gr1a,38.5
earnings_variability,38.0
taccruals_at,36.5
ni_inc8q,34.0
saleq_su,33.5
ncol_gr1a,31.0
cowc_gr1a,30.5
ocf_at_chg1,30.0
ami_126d,29.5
ope_bel1,28.5
lnoa_gr1a,28.5
sale_emp_gr1,26.5
ocfq_saleq_std,25.5
rskew_21d,23.0
dgp_dsale,22.0
sale_bev,21.0
ni_ar1,19.0
dbnetis_at,18.5
inv_gr1,18.0
fnl_gr1a,18.0
capex_abn,17.5
niq_be_chg1,14.5
prc,14.5
nfna_gr1a,14.5
lti_gr1a,13.5
debt_gr3,13.0
dsale_drec,12.5
pi_nix,12.5
niq_su,12.0
dsale_dinv,11.0
iskew_capm_21d,11.0
oaccruals_ni,11.0
iskew_ff3_21d,8.5
iskew_hxz4_21d,8.0
taccruals_ni,6.0
