feature,importance
age,0.0
rd5_at,0.0
ocfq_saleq_std,0.0
op_at,0.0
op_atl1,0.0
ope_be,0.0
ope_bel1,0.0
opex_at,0.0
pi_nix,0.0
ppeinv_gr1a,0.0
prc,0.0
prc_highprc_252d,0.0
qmj,0.0
qmj_growth,0.0
qmj_prof,0.0
qmj_safety,0.0
rd_me,0.0
ocf_me,0.0
ocf_at_chg1,0.0
ocf_at,0.0
niq_be,0.0
ni_be,0.0
ni_inc8q,0.0
ni_ivol,0.0
ni_me,0.0
niq_at,0.0
niq_at_chg1,0.0
niq_be_chg1,0.0
oaccruals_ni,0.0
niq_su,0.0
nncoa_gr1a,0.0
noa_at,0.0
noa_gr1a,0.0
o_score,0.0
oaccruals_at,0.0
rd_sale,0.0
resff3_12_1,0.0
nfna_gr1a,0.0
resff3_6_1,0.0
saleq_su,0.0
seas_1_1an,0.0
seas_1_1na,0.0
seas_2_5an,0.0
seas_2_5na,0.0
sti_gr1a,0.0
taccruals_at,0.0
taccruals_ni,0.0
tangibility,0.0
tax_gr1a,0.0
turnover_126d,0.0
turnover_var_126d,0.0
z_score,0.0
zero_trades_126d,0.0
zero_trades_21d,0.0
saleq_gr1,0.0
sale_me,0.0
sale_gr3,0.0
ret_9_1,0.0
ret_1_0,0.0
ret_12_1,0.0
ret_12_7,0.0
ret_3_1,0.0
ret_6_1,0.0
ret_60_12,0.0
rmax1_21d,0.0
sale_gr1,0.0
rmax5_21d,0.0
rmax5_rvol_21d,0.0
rskew_21d,0.0
rvol_21d,0.0
sale_bev,0.0
sale_emp_gr1,0.0
ni_ar1,0.0
netis_at,0.0
aliq_at,0.0
dsale_dinv,0.0
cash_at,0.0
chcsho_12m,0.0
coa_gr1a,0.0
col_gr1a,0.0
cop_at,0.0
cop_atl1,0.0
corr_1260d,0.0
coskew_21d,0.0
cowc_gr1a,0.0
dbnetis_at,0.0
debt_gr3,0.0
debt_me,0.0
dgp_dsale,0.0
div12m_me,0.0
dolvol_126d,0.0
capx_gr3,0.0
capx_gr2,0.0
capx_gr1,0.0
be_gr1a,0.0
aliq_mat,0.0
ami_126d,0.0
at_be,0.0
at_gr1,0.0
at_me,0.0
at_turnover,0.0
be_me,0.0
capex_abn,0.0
beta_60m,0.0
beta_dimson_21d,0.0
betabab_1260d,0.0
betadown_252d,0.0
bev_mev,0.0
bidaskhl_21d,0.0
dolvol_var_126d,0.0
dsale_drec,0.0
netdebt_me,0.0
dsale_dsga,0.0
iskew_capm_21d,0.0
iskew_ff3_21d,0.0
iskew_hxz4_21d,0.0
ivol_capm_21d,0.0
ivol_capm_252d,0.0
ivol_ff3_21d,0.0
ivol_hxz4_21d,0.0
kz_index,0.0
lnoa_gr1a,0.0
lti_gr1a,0.0
market_equity,0.0
mispricing_mgmt,0.0
mispricing_perf,0.0
ncoa_gr1a,0.0
ncol_gr1a,0.0
inv_gr1a,0.0
inv_gr1,0.0
intrinsic_value,0.0
eqnetis_at,0.0
earnings_variability,0.0
ebit_bev,0.0
ebit_sale,0.0
ebitda_mev,0.0
emp_gr1,0.0
eq_dur,0.0
eqnpo_12m,0.0
gp_atl1,0.0
eqnpo_me,0.0
eqpo_me,0.0
f_score,0.0
fcf_me,0.0
fnl_gr1a,0.0
gp_at,0.0
zero_trades_252d,0.0
