stock_ticker,date,ret_eom,permno,exchcd,shrcd,mspread,year,month,size_port,rf,stock_exret,cusip,comp_name,eps_medest,eps_meanest,eps_stdevest,eps_actual,prc,market_equity,div12m_me,chcsho_12m,eqnpo_12m,ret_1_0,ret_3_1,ret_6_1,ret_9_1,ret_12_1,ret_12_7,ret_60_12,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,at_gr1,sale_gr1,capx_gr1,inv_gr1,debt_gr3,sale_gr3,capx_gr3,inv_gr1a,lti_gr1a,sti_gr1a,coa_gr1a,col_gr1a,cowc_gr1a,ncoa_gr1a,ncol_gr1a,nncoa_gr1a,fnl_gr1a,nfna_gr1a,tax_gr1a,be_gr1a,ebit_sale,gp_at,cop_at,ope_be,ni_be,ebit_bev,netis_at,eqnetis_at,dbnetis_at,oaccruals_at,oaccruals_ni,taccruals_at,taccruals_ni,noa_at,opex_at,at_turnover,sale_bev,rd_sale,cash_at,sale_emp_gr1,emp_gr1,ni_inc8q,noa_gr1a,ppeinv_gr1a,lnoa_gr1a,capx_gr2,saleq_gr1,niq_be,niq_at,niq_be_chg1,niq_at_chg1,rd5_at,dsale_dinv,dsale_drec,dgp_dsale,dsale_dsga,saleq_su,niq_su,capex_abn,op_atl1,gp_atl1,ope_bel1,cop_atl1,pi_nix,ocf_at,op_at,ocf_at_chg1,at_be,ocfq_saleq_std,tangibility,earnings_variability,aliq_at,f_score,o_score,z_score,intrinsic_value,kz_index,ni_ar1,ni_ivol,at_me,be_me,debt_me,netdebt_me,sale_me,ni_me,ocf_me,fcf_me,eqpo_me,eqnpo_me,rd_me,bev_mev,ebitda_mev,aliq_mat,eq_dur,beta_60m,resff3_12_1,resff3_6_1,mispricing_mgmt,mispricing_perf,ivol_capm_21d,iskew_capm_21d,coskew_21d,beta_dimson_21d,ivol_ff3_21d,iskew_ff3_21d,ivol_hxz4_21d,iskew_hxz4_21d,rmax5_21d,rmax1_21d,rvol_21d,rskew_21d,zero_trades_21d,dolvol_126d,dolvol_var_126d,turnover_126d,turnover_var_126d,zero_trades_126d,zero_trades_252d,ami_126d,ivol_capm_252d,prc_highprc_252d,betadown_252d,bidaskhl_21d,corr_1260d,betabab_1260d,rmax5_rvol_21d,age,qmj,qmj_prof,qmj_growth,qmj_safety,year_month,form_type,sentiment,predicted_return,weight
AAPL,2000-01-31,20000131,14593,11,3,0.01632426,2000,1,B,0.0041,0.0050185411,3783310,APPLE COMPUTER,0.01,0.01,0.0,0.0079,102.8125,16569.159688,0.0,0.1813703571,-0.166675104,0.0504469983,0.5459032463,1.1133602931,1.7234782163,1.3908396492,0.0763358747,0.0621877697,0.0061068702,0.0953142567,0.0233920915,0.0100804601,0.2420193022,0.0591765294,0.2,-0.945736434,-0.735915493,-0.395720399,-0.538461538,-0.024307631,0.0,0.1375612031,-0.037856147,0.0298864316,-0.067742578,0.0109583582,-0.000597729,0.0115560869,-0.130105599,0.1301055987,0.011356844,0.2950787009,0.0673591438,0.3622235505,0.2249452082,0.1903903904,0.19669967,2.6097560976,0.0135485156,0.0135485156,0.0,-0.061167563,-0.515100671,0.0689380355,0.5805369128,0.0405840139,1.1629806734,1.4026490066,38.743902439,0.048001259,0.6188483762,-0.116452145,-0.051716316,6.0,-0.069784707,-0.077456075,,-0.111111111,0.1112696148,0.0888013998,0.0411347518,0.0203732155,0.0156490086,0.2511699542,0.9006217302,0.0772515354,0.2170031269,0.1032414865,1.3255000786,-0.231345364,-0.035299661,0.2034149963,0.4498886414,0.2412480974,0.2793862905,1.1157718121,0.179916318,0.1637776449,0.0190650436,1.6564356436,0.124480552,0.8290125523,1.1359948981,1.079064588,8.0,-5.020692495,4.5284203188,7396.5534923,-12.31420798,0.2338147401,0.1359254558,0.302912163,0.1828698653,0.0181059273,-0.169350773,0.3834835393,0.0359704421,0.054498841,0.0516018927,0.0,-0.00410401,0.0184076927,0.0119158684,0.0375640486,0.539894967,17.30938801,0.6319215775,0.2093902256,0.76041574,0.4908824333,0.8568526723,0.02713696,-0.20054291,0.35286264,3.6186857,0.02835078,0.04437147,0.02754644,-0.57256408,0.04947506,0.0691328,0.03651902,-0.08874435,0.0008636,185719678.921021,0.70847894,0.01715694,0.76846489,0.00023152,0.0002187,0.00018245,0.03334013,0.87267905,2.540927,0.01250466,0.28641919,0.965750181,1.3346422986,240,1.2562318104,1.3494056161,1.0517188414,0.1950779047,2000-01,,0.0,0.020900022065931376,0.02
AAPL,2015-11-30,20151130,14593,11,3,0.00372568,2015,11,B,0.0,-0.005690351,3783310,APPLE,0.82,0.81,0.02,0.82,119.5,666252.0545,0.0171945498,-0.049363495,0.0668040988,0.0834088549,-0.086490884,-0.111059213,-0.046961642,0.0379559143,0.160914719,1.6365828886,0.1055555567,0.0031705576,0.0088163258,0.024118532,0.2275346036,0.259301464,0.4876623377,0.2810539523,,0.5075195549,0.7680197561,0.0016401185,0.1032915083,-0.019930368,0.0223539361,0.0515868512,-0.029232915,0.1743614338,0.0308437458,0.143517688,0.0855863607,-0.105516729,0.0168002314,0.033377143,0.3020990742,0.3631471238,0.4236338143,0.5143859509,0.3377602918,0.4661329372,-0.070126047,-0.1465563,0.0764302529,-0.110942299,-0.59727615,-0.216459028,-1.165342846,0.6533884595,0.5361796223,0.9051850925,1.5429803566,0.033578946,0.1270469447,-0.069390353,0.1389195149,5.0,0.1402885134,0.0518560129,0.0980710996,0.1844690311,0.3252030348,0.069861481,0.0408776618,0.0143799199,0.0032640028,0.0592448865,0.0500096859,-0.023283767,0.0590859216,-0.043218903,1.1309013302,0.8709031576,0.0648920562,0.3838396549,0.4457756606,0.5476225912,0.5200251663,1.3584760628,0.2966893769,0.3126915149,0.0433593392,1.8183881877,0.0651769756,0.2724482759,0.8534459628,0.7126460543,6.0,-6.605688029,5.2077008156,504915.73142,-29.82441891,0.2449527824,0.0290768761,0.409981475,0.2254642203,0.0816777969,0.0295909031,0.3367149091,0.0761528609,0.1216371484,0.1044439556,0.0781641117,0.0772350339,0.0113065317,0.2119518701,0.1135316915,0.2218421068,17.081477953,0.7701835354,0.0397073526,-0.350396076,0.5853169571,0.8241085865,0.0146387,0.09020221,0.00592084,0.08381791,0.01503649,-0.12516415,0.01447542,-0.47821483,0.02593618,0.04120466,0.01626701,0.31292005,0.00302492,6334356320.10403,0.37287153,0.00935153,0.41344985,0.00313917,0.00310592,1.87e-06,0.01242211,0.89849624,1.05974086,0.00505945,0.51339047,0.9100760196,1.5620328717,430,1.5014378314,1.6569867712,0.3804104326,0.9845146483,2015-11,,0.0,0.020900022065931376,0.02
AAPL,2016-06-30,20160630,14593,11,3,0.00381962,2016,6,B,0.0002,-0.042859745,3783310,APPLE,0.35,0.35,0.01,0.355,99.86000061,546975.66384,0.0217009723,-0.049434095,0.0707400743,0.0713676438,-0.030509931,-0.203346329,-0.160532194,-0.270072797,-0.078514865,1.7841653104,-0.037265856,-0.015568349,-0.028686929,0.0290502624,0.1198576523,0.1733733734,0.077663612,0.073587385,,0.423548914,0.2530405769,0.0005728236,0.116714117,0.0286411806,-0.043626655,-0.011521256,-0.0321054,0.1315243927,0.0111496024,0.1203747903,0.0905606852,-0.061919505,0.0109552516,0.010859781,0.301173008,0.3593649841,0.3822063256,0.5428531398,0.3584838942,0.461013607,-0.048233112,-0.130269636,0.0820365243,-0.072544019,-0.39597253,-0.134463523,-0.733952467,0.5848014846,0.5189406855,0.8445579616,1.5307268406,0.0365807883,0.1298195606,0.1274604686,0.1256038647,7.0,0.0988491527,0.0410967796,0.0665300138,0.4862760117,0.0097186289,0.128025269,0.0632093886,-0.008721161,-0.014534218,0.0638064129,0.1415611331,0.3619018758,0.0695830882,-0.069246194,-1.257230277,-1.010221342,-0.041980826,0.346777704,0.4024376274,0.5546390909,0.4280166785,1.3525153077,0.2557486941,0.3096623068,-0.014456045,1.9567398788,0.0651966797,0.2880712279,0.7936899914,0.6516080934,6.0,-6.490888598,4.3246999838,529112.96765,-26.57568123,0.3091648314,0.0295688746,0.5361920454,0.2740231603,0.1151111542,0.0455029385,0.4286113908,0.0982328896,0.1371304154,0.1158461047,0.0921412109,0.0912929099,0.0156789425,0.2678186111,0.1438154955,0.1970797427,16.489865489,0.9236501604,-0.467469239,-0.541549284,0.5803838414,0.739419081,0.01162641,0.43070046,0.30688495,1.32552671,0.01188204,0.8040441,0.01159439,1.00773421,0.01981709,0.03711888,0.01290267,0.51762978,0.00352524,4481020031.54613,0.39074654,0.00800268,0.41032893,0.00394389,0.00364911,2.73e-06,0.01295486,0.75611414,1.00490079,0.00425693,0.51198959,0.853378375,1.1240719642,437,1.4556319125,1.5990723354,0.3662332704,0.925469,2016-06,,0.0,0.020900022065931376,0.02
MSFT,2016-05-31,20160531,10107,11,3,0.00484973,2016,5,B,0.0001,0.0698819773,59491810,MICROSOFT,0.58,0.58,0.02,0.69,49.869998932,392001.48089,0.0273216865,-0.028321389,0.0560742047,-0.097048715,0.009634733,0.0636245348,0.2074521269,0.1669623331,-0.077505028,1.0970126101,-0.030222015,0.0105868491,-0.007325401,0.0196314476,0.0300260798,-0.053613254,0.2376275028,0.3161227472,2.1314491119,0.2077882901,1.2561983471,0.0036035936,-0.014436254,0.0645870582,-0.005224933,0.0084731646,-0.013698098,-0.034425702,0.0150029428,-0.049428644,0.0895123766,-0.024925318,-0.012137836,-0.087313574,0.2836837564,0.3464169508,0.3431964819,0.3796819206,0.148276648,1.3456836663,-0.136259148,-0.09557019,-0.040688958,-0.104765183,-1.611272417,-0.129690502,-1.994619983,0.1062008144,0.3169552133,0.4963233844,4.743604933,0.1355524272,0.5699119368,0.174197042,-0.081300813,0.0,-0.065022191,0.0265773701,-0.046654984,0.1521012836,-0.101020023,0.0630291155,0.0290232278,-9.2628e-05,-0.005534937,0.1881309065,-0.483686439,0.0962392869,-0.04432332,0.0126777073,-1.63025591,0.1553854257,0.353568707,0.2455904557,0.3568184938,0.3166348113,0.3535013269,1.3773697694,0.1697853391,0.2384312985,-0.014986577,2.2804720541,0.1238202988,0.7361097514,1.2511205454,0.7814473142,4.0,-4.458375312,4.2440526552,88882.337079,-39.22952771,0.6716053242,0.0407380633,0.4594319378,0.2014635246,0.1133388575,-0.148496888,0.2247032328,0.0298723361,0.0780048074,0.0612905848,0.0719793199,0.0703645301,0.0304590686,0.0556307057,0.0928756264,0.2884861097,18.019796895,0.8745149449,0.170016478,0.0814334343,0.6967049316,0.8257377546,0.01710869,-3.34097117,0.20506796,2.40745665,0.01486472,-2.24906336,0.0143235,-1.80719708,0.01005227,0.01455521,0.01816547,-2.64257869,0.00584172,1948020503.23878,0.42070384,0.00461853,0.43337412,0.00626645,0.00658659,6.18e-06,0.01161214,0.88187444,1.12083806,0.0049948,0.63740937,1.0319850706,0.5886903398,376,-0.031223751,1.5721801449,-1.582003371,0.3560917039,2016-05,,0.0,0.020900022065931376,0.02
AAPL,2016-05-31,20160531,14593,11,3,0.00425693,2016,5,B,0.0001,0.0712676438,3783310,APPLE,0.35,0.35,0.01,0.355,93.739997864,513453.8078,0.0228728566,-0.049434095,0.0690317701,-0.139921099,0.1257052695,-0.079014227,-0.08849682,-0.113011201,-0.111059213,1.6464020701,0.0451458022,-0.025444121,0.0209043678,0.0233666253,0.1198576523,0.1733733734,0.077663612,0.073587385,,0.423548914,0.2530405769,0.0005728236,0.116714117,0.0286411806,-0.043626655,-0.011521256,-0.0321054,0.1315243927,0.0111496024,0.1203747903,0.0905606852,-0.061919505,0.0109552516,0.010859781,0.301173008,0.3593649841,0.3822063256,0.5428531398,0.3584838942,0.461013607,-0.048233112,-0.130269636,0.0820365243,-0.072544019,-0.39597253,-0.134463523,-0.733952467,0.5848014846,0.5189406855,0.8445579616,1.5307268406,0.0365807883,0.1298195606,0.1274604686,0.1256038647,7.0,0.0988491527,0.0410967796,0.0665300138,0.4862760117,0.0097186289,0.128025269,0.0632093886,-0.008721161,-0.014534218,0.0638064129,0.1415611331,0.3619018758,0.0695830882,-0.069246194,-1.257230277,-1.010221342,-0.041980826,0.346777704,0.4024376274,0.5546390909,0.4280166785,1.3525153077,0.2557486941,0.3096623068,-0.014456045,1.9567398788,0.0651966797,0.2880712279,0.7936899914,0.6516080934,6.0,-6.490888598,4.3246999838,529112.96765,-26.57568123,0.3091648314,0.0295688746,0.5711984127,0.2919133089,0.1226264155,0.0484736886,0.4565941404,0.1046462197,0.1460832481,0.1234093487,0.0981568337,0.0972531496,0.0167025736,0.2844953026,0.1527706859,0.2040454998,16.304224018,0.9188256793,-0.274209546,-0.237448108,0.5802557332,0.7853681699,0.01621359,-2.39735846,0.14505005,1.72305134,0.016875,-2.27638738,0.01466875,-1.07306308,0.01148684,0.01448749,0.01784151,-1.5384468,0.00341583,4544067463.67186,0.38689818,0.00782748,0.4210734,0.0040505,0.00360876,2.72e-06,0.01268143,0.70725821,1.03795608,0.00454648,0.51358239,0.8612350724,0.6494814277,436,1.4467004445,1.6072332726,0.3515563046,0.9095923366,2016-05,,0.0,0.020900022065931376,0.02
MSFT,2016-03-31,20160331,10107,11,3,0.00562454,2016,3,B,0.0002,0.0852952484,59491810,MICROSOFT,0.64,0.64,0.02,0.62,50.880001068,402425.34509,0.0266139837,-0.03589587,0.0639000006,-0.069885626,0.013615486,0.27423946,0.1918462516,0.2820841592,0.0720397678,0.8435591925,-0.072862022,0.0267450558,0.0175918941,0.0140152631,0.0190974678,-0.004005575,0.087066474,0.2148997135,2.2273640167,0.2542738291,1.4344660194,0.0039040811,-0.014436254,0.063812928,-0.005465713,-0.00459814,-0.000867574,-0.034569915,0.0110644549,-0.04563437,0.085872432,-0.022059504,-0.002134231,-0.076751342,0.2972850878,0.3746529706,0.3567404683,0.4032205391,0.1576983948,1.6197994837,-0.063928604,-0.090661438,0.0267328336,-0.096965806,-1.335324572,-0.11902531,-1.639107925,0.0981810251,0.334229826,0.5298932717,5.4486402113,0.1315917054,0.5746518138,0.174197042,-0.081300813,0.0,-0.047390013,0.0302258688,-0.038002989,0.2319344933,-0.121632688,0.0591186473,0.0278170273,0.0100439327,0.0014804763,0.1939258282,-0.267936113,0.1005481541,-0.059940763,0.0548799656,-2.670161232,0.5784610084,0.2776358384,0.2647357005,0.3818078936,0.345613884,0.3635533079,1.4435682995,0.1695817139,0.2597746622,-0.021275079,2.171678348,0.1209544498,0.7363341951,1.2720542537,0.7707198684,3.0,-4.754333727,3.9532990119,97016.230828,-39.4137073,0.6697244973,0.0427228465,0.4296349674,0.1978354519,0.0958364091,-0.151054104,0.2255275447,0.0311983332,0.0728582341,0.0579039076,0.0655078024,0.0639249001,0.0296775542,0.0487563794,0.0965087701,0.2995529568,18.035292638,0.8615750277,0.3764408809,0.8240108397,0.7233398413,0.8681835675,0.00825976,-0.04643356,0.01222466,1.37429584,0.00772761,-0.3119136,0.00821627,0.00782442,0.0183141,0.02603245,0.01705664,-0.16441228,0.00576175,1952055065.36155,0.44312841,0.00479286,0.41708865,0.00620233,0.00648221,6.43e-06,0.01240708,0.89973478,1.13942127,0.00265319,0.64521614,1.0898990944,1.031139002,374,-0.117697837,1.6028849388,-1.601045459,0.233508549,2016-03,,0.0,0.020900022065931376,0.02
AAPL,2016-03-31,20160331,14593,11,3,0.00515147,2016,3,B,0.0002,0.1270106171,3783310,APPLE,0.5,0.5,0.01,0.475,96.690002441,536105.74381,0.0219064158,-0.048099077,0.0676283155,-0.001335463,-0.177176724,-0.13295617,-0.246095117,-0.232362195,-0.051968286,1.6927079916,-0.031371683,-0.019658423,0.0286943476,0.0230431563,0.2529341483,0.278563418,0.1751123185,0.1127427759,,0.4933102461,0.3558770344,0.0008193363,0.116714117,0.0318370691,0.0148823151,0.0429325356,-0.02805022,0.0133916738,0.0316511693,-0.018259496,0.1004100124,0.0481411737,0.0177224515,0.0399719085,0.3047729072,0.3584630903,0.405086082,0.5647656833,0.3722989604,0.50085785,-0.023767639,-0.124652729,0.1008850898,-0.095951859,-0.522006218,-0.047810685,-0.260104132,-0.094242125,0.5232219885,0.8949145923,1.6433804916,0.0345163982,0.1432151722,0.1274604686,0.1256038647,6.0,-0.058023025,0.0452037837,0.0020160132,0.3774647887,0.2226337155,0.0740533632,0.0407247273,0.0140458507,0.002674215,0.0599802395,0.1091379029,0.0535350289,0.0710551106,-0.0220066,0.4160633644,0.5382510029,-0.057239172,0.3873248246,0.4491306467,0.6145167898,0.5075461851,1.3581113983,0.2797654908,0.3091342231,0.0222031307,2.0254153971,0.0659656967,0.3130472186,0.876534189,0.7482768214,7.0,-6.391018336,4.4178696014,550522.1112,-26.09398151,0.2502297541,0.0284963794,0.5418315386,0.2675162534,0.1202412038,0.0426427067,0.4359494423,0.099596023,0.1515857663,0.1306066962,0.0902415252,0.0892286653,0.0150474045,0.2544265854,0.1462162122,0.2045076105,16.439863777,0.8682684498,-0.514115095,-0.773902896,0.6657416156,0.7645287875,0.01013826,0.62628235,-0.10101822,0.61754692,0.00995191,0.93787727,0.01015143,0.18739013,0.0177444,0.02819451,0.0147572,-0.14332608,0.00448136,5298522348.92905,0.33289844,0.00876475,0.3453754,0.00355403,0.00342556,2.62e-06,0.01206834,0.72891072,1.03771681,0.00670432,0.51760031,0.8478779861,1.0302321844,434,1.5537297382,1.6368883907,0.6606456512,0.9485991154,2016-03,,0.0,0.020900022065931376,0.02
MSFT,2016-02-29,20160229,10107,11,3,0.00265319,2016,2,B,0.0002,-0.070085626,59491810,MICROSOFT,0.64,0.64,0.02,0.62,55.090000153,435723.50348,0.0238820352,-0.03589587,0.0638941257,-0.007029549,0.0609324654,0.204396025,0.1640087123,0.4113277368,0.1078281572,0.6266692585,0.0930692255,0.0264744744,0.0217584912,0.0107138282,0.0190974678,-0.004005575,0.087066474,0.2148997135,2.2273640167,0.2542738291,1.4344660194,0.0039040811,-0.014436254,0.063812928,-0.005465713,-0.00459814,-0.000867574,-0.034569915,0.0110644549,-0.04563437,0.085872432,-0.022059504,-0.002134231,-0.076751342,0.2972850878,0.3746529706,0.3567404683,0.4032205391,0.1576983948,1.6197994837,-0.063928604,-0.090661438,0.0267328336,-0.096965806,-1.335324572,-0.11902531,-1.639107925,0.0981810251,0.334229826,0.5298932717,5.4486402113,0.1315917054,0.5746518138,0.174197042,-0.081300813,0.0,-0.047390013,0.0302258688,-0.038002989,0.2319344933,-0.121632688,0.0591186473,0.0278170273,0.0100439327,0.0014804763,0.1939258282,-0.267936113,0.1005481541,-0.059940763,0.0548799656,-2.670161232,0.5784610084,0.2776358384,0.2647357005,0.3818078936,0.345613884,0.3635533079,1.4435682995,0.1695817139,0.2597746622,-0.021275079,2.171678348,0.1209544498,0.7363341951,1.2720542537,0.7707198684,3.0,-4.754333727,3.9532990119,97016.230828,-39.4137073,0.6697244973,0.0427228465,0.3968020972,0.1827167903,0.0885125537,-0.139510491,0.2082926426,0.0288141445,0.0672903797,0.0534788686,0.0605016709,0.0590397346,0.0274095841,0.0444263076,0.0879377912,0.3203225672,18.134489409,0.826905472,0.4099819168,0.5485492449,0.7253432337,0.8633026058,0.01067633,0.02260265,0.30131638,1.26512719,0.01091262,-0.02365816,0.01095924,0.24471467,0.02962117,0.05830371,0.02384147,0.66408804,0.00554958,1878922452.96688,0.47499791,0.00470756,0.45554486,0.0062576,0.00648314,6.71e-06,0.01224369,0.97418216,1.13797174,0.00892239,0.63573305,1.0815187435,1.7144347783,373,-0.112123948,1.602786301,-1.602022282,0.2478692889,2016-02,,0.0,0.020900022065931376,0.02
AAPL,2016-02-29,20160229,14593,11,3,0.00670432,2016,2,B,0.0002,-0.001535463,3783310,APPLE,0.5,0.5,0.01,0.475,97.339996338,539709.68892,0.0214904505,-0.048099077,0.0659167635,-0.075242311,-0.115291354,-0.124400433,-0.147949206,-0.086511609,0.0787499843,1.547053945,0.1004609317,-0.022388989,0.0653601731,0.018357032,0.2529341483,0.278563418,0.1751123185,0.1127427759,,0.4933102461,0.3558770344,0.0008193363,0.116714117,0.0318370691,0.0148823151,0.0429325356,-0.02805022,0.0133916738,0.0316511693,-0.018259496,0.1004100124,0.0481411737,0.0177224515,0.0399719085,0.3047729072,0.3584630903,0.405086082,0.5647656833,0.3722989604,0.50085785,-0.023767639,-0.124652729,0.1008850898,-0.095951859,-0.522006218,-0.047810685,-0.260104132,-0.094242125,0.5232219885,0.8949145923,1.6433804916,0.0345163982,0.1432151722,0.1274604686,0.1256038647,6.0,-0.058023025,0.0452037837,0.0020160132,0.3774647887,0.2226337155,0.0740533632,0.0407247273,0.0140458507,0.002674215,0.0599802395,0.1091379029,0.0535350289,0.0710551106,-0.0220066,0.4160633644,0.5382510029,-0.057239172,0.3873248246,0.4491306467,0.6145167898,0.5075461851,1.3581113983,0.2797654908,0.3091342231,0.0222031307,2.0254153971,0.0659656967,0.3130472186,0.876534189,0.7482768214,7.0,-6.391018336,4.4178696014,550522.1112,-26.09398151,0.2502297541,0.0284963794,0.5382134247,0.2657298969,0.1194382857,0.0423579574,0.4330383627,0.0989309644,0.1505735429,0.1297345618,0.0896389318,0.0886328354,0.0149469246,0.2527966757,0.1452795206,0.2217105536,16.459185101,0.8682466046,-0.369255329,-0.490517631,0.6669368507,0.7686522218,0.01813482,-1.22153935,0.17621836,1.16974832,0.01793818,-0.39742168,0.01730963,-0.23337229,0.02805698,0.05316713,0.02748138,-0.16993696,0.00257995,6076107668.47829,0.40413604,0.00977934,0.42390758,0.00299656,0.00325342,2.47e-06,0.01225356,0.73187967,1.11609976,0.00879165,0.5188652,0.8784358531,1.6317869062,433,1.5397964189,1.6365686821,0.6674603646,0.9060532763,2016-02,,0.0,0.020900022065931376,0.02
MSFT,2015-12-31,20151231,10107,11,3,0.00549335,2015,12,B,0.0001,0.0206911879,59491810,MICROSOFT,0.71,0.71,0.02,0.78,54.349998474,434143.05936,0.0239689748,-0.030928612,0.0587551479,0.0393236913,0.2095588009,0.1313478889,0.2170053016,0.1240943391,0.0245526223,1.1130892466,-0.028445944,0.0218435675,0.0261372445,0.0161585642,0.0222700483,0.0824628981,0.0836827712,0.0909774436,1.9547890154,0.2693460657,1.5787418655,0.00137326,-0.014436254,0.0788262599,-0.001991794,-0.00709896,0.0051071654,-0.023169507,0.0121664028,-0.03533591,0.0717670225,-0.007377017,0.0032231888,-0.054442383,0.3010472323,0.3741963308,0.3546926338,0.3951614848,0.1470488917,1.4946150989,-0.000839845,-0.07836094,0.0775210954,-0.095827446,-1.384974986,-0.103204463,-1.491593537,0.0394236124,0.3405230872,0.5368796381,4.9647196138,0.1287240863,0.5477491587,0.174197042,-0.081300813,0.0,-0.03090194,0.0276997865,-0.014242399,0.3962884661,-0.035652174,-0.034336009,-0.018083234,-0.085727777,-0.047624801,0.1880027011,-0.123152224,0.1719199563,-0.081533944,0.096892183,-2.214493825,-3.954208704,0.2755030382,0.2646301281,0.3825297011,0.3541810792,0.3625916558,1.5178381038,0.1650181872,0.2588651879,-0.021953922,2.1252683374,0.1238092938,0.7275889583,1.2428586472,0.7688300538,3.0,-4.860035954,3.9734563994,96336.281587,-39.87953305,0.8847739398,0.0358048487,0.4059099788,0.1909923428,0.0812911764,-0.141045673,0.2155510677,0.0280852123,0.0669825289,0.0532911894,0.0564468312,0.0549864831,0.0277466143,0.0505458356,0.0900273114,0.2796295327,18.150668718,0.8972885536,0.0575104685,0.2569962439,0.7329312897,0.6452955302,0.00699725,-0.46094392,0.18096719,0.70930401,0.00704053,-0.70379961,0.00693095,-0.51346862,0.0145079,0.01750566,0.00969343,0.02805241,0.00618022,1609593362.93974,0.46887762,0.00425502,0.44506246,0.006577,0.00651539,6.49e-06,0.01339942,0.98962127,1.22507663,0.00443972,0.62796505,1.1687555842,0.8165392223,371,-0.183478735,1.5911751947,-1.609635216,0.1614329655,2015-12,,0.0,0.020900022065931376,0.02
