stock_ticker,date,ret_eom,permno,exchcd,shrcd,mspread,year,month,size_port,rf,stock_exret,cusip,comp_name,eps_medest,eps_meanest,eps_stdevest,eps_actual,prc,market_equity,div12m_me,chcsho_12m,eqnpo_12m,ret_1_0,ret_3_1,ret_6_1,ret_9_1,ret_12_1,ret_12_7,ret_60_12,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,at_gr1,sale_gr1,capx_gr1,inv_gr1,debt_gr3,sale_gr3,capx_gr3,inv_gr1a,lti_gr1a,sti_gr1a,coa_gr1a,col_gr1a,cowc_gr1a,ncoa_gr1a,ncol_gr1a,nncoa_gr1a,fnl_gr1a,nfna_gr1a,tax_gr1a,be_gr1a,ebit_sale,gp_at,cop_at,ope_be,ni_be,ebit_bev,netis_at,eqnetis_at,dbnetis_at,oaccruals_at,oaccruals_ni,taccruals_at,taccruals_ni,noa_at,opex_at,at_turnover,sale_bev,rd_sale,cash_at,sale_emp_gr1,emp_gr1,ni_inc8q,noa_gr1a,ppeinv_gr1a,lnoa_gr1a,capx_gr2,saleq_gr1,niq_be,niq_at,niq_be_chg1,niq_at_chg1,rd5_at,dsale_dinv,dsale_drec,dgp_dsale,dsale_dsga,saleq_su,niq_su,capex_abn,op_atl1,gp_atl1,ope_bel1,cop_atl1,pi_nix,ocf_at,op_at,ocf_at_chg1,at_be,ocfq_saleq_std,tangibility,earnings_variability,aliq_at,f_score,o_score,z_score,intrinsic_value,kz_index,ni_ar1,ni_ivol,at_me,be_me,debt_me,netdebt_me,sale_me,ni_me,ocf_me,fcf_me,eqpo_me,eqnpo_me,rd_me,bev_mev,ebitda_mev,aliq_mat,eq_dur,beta_60m,resff3_12_1,resff3_6_1,mispricing_mgmt,mispricing_perf,ivol_capm_21d,iskew_capm_21d,coskew_21d,beta_dimson_21d,ivol_ff3_21d,iskew_ff3_21d,ivol_hxz4_21d,iskew_hxz4_21d,rmax5_21d,rmax1_21d,rvol_21d,rskew_21d,zero_trades_21d,dolvol_126d,dolvol_var_126d,turnover_126d,turnover_var_126d,zero_trades_126d,zero_trades_252d,ami_126d,ivol_capm_252d,prc_highprc_252d,betadown_252d,bidaskhl_21d,corr_1260d,betabab_1260d,rmax5_rvol_21d,age,qmj,qmj_prof,qmj_growth,qmj_safety,year_month,form_type,sentiment
AAPL,2000-01-31,20000131,14593,11,3,0.01632426,2000,1,B,0.0041,0.0050185411,3783310,APPLE COMPUTER,0.01,0.01,0.0,0.0079,102.8125,16569.159688,0.0,0.1813703571,-0.166675104,0.0504469983,0.5459032463,1.1133602931,1.7234782163,1.3908396492,0.0763358747,0.0621877697,0.0061068702,0.0953142567,0.0233920915,0.0100804601,0.2420193022,0.0591765294,0.2,-0.945736434,-0.735915493,-0.395720399,-0.538461538,-0.024307631,0.0,0.1375612031,-0.037856147,0.0298864316,-0.067742578,0.0109583582,-0.000597729,0.0115560869,-0.130105599,0.1301055987,0.011356844,0.2950787009,0.0673591438,0.3622235505,0.2249452082,0.1903903904,0.19669967,2.6097560976,0.0135485156,0.0135485156,0.0,-0.061167563,-0.515100671,0.0689380355,0.5805369128,0.0405840139,1.1629806734,1.4026490066,38.743902439,0.048001259,0.6188483762,-0.116452145,-0.051716316,6.0,-0.069784707,-0.077456075,,-0.111111111,0.1112696148,0.0888013998,0.0411347518,0.0203732155,0.0156490086,0.2511699542,0.9006217302,0.0772515354,0.2170031269,0.1032414865,1.3255000786,-0.231345364,-0.035299661,0.2034149963,0.4498886414,0.2412480974,0.2793862905,1.1157718121,0.179916318,0.1637776449,0.0190650436,1.6564356436,0.124480552,0.8290125523,1.1359948981,1.079064588,8.0,-5.020692495,4.5284203188,7396.5534923,-12.31420798,0.2338147401,0.1359254558,0.302912163,0.1828698653,0.0181059273,-0.169350773,0.3834835393,0.0359704421,0.054498841,0.0516018927,0.0,-0.00410401,0.0184076927,0.0119158684,0.0375640486,0.539894967,17.30938801,0.6319215775,0.2093902256,0.76041574,0.4908824333,0.8568526723,0.02713696,-0.20054291,0.35286264,3.6186857,0.02835078,0.04437147,0.02754644,-0.57256408,0.04947506,0.0691328,0.03651902,-0.08874435,0.0008636,185719678.921021,0.70847894,0.01715694,0.76846489,0.00023152,0.0002187,0.00018245,0.03334013,0.87267905,2.540927,0.01250466,0.28641919,0.965750181,1.3346422986,240,1.2562318104,1.3494056161,1.0517188414,0.1950779047,2000-01,,0.0
MSFT,2000-01-31,20000131,10107,11,3,0.01136864,2000,1,B,0.0041,-0.165770238,59491810,MICROSOFT CP,0.22,0.2,0.01,0.215,116.75,602432.91875,0.0,0.0445394737,-0.043576117,0.2823064923,0.0053485149,0.0095287585,0.0158647102,0.3129787997,0.1635871854,8.0756646833,0.2618296444,0.0332477982,0.1035624272,0.0462700653,0.6619403319,0.3633664733,-0.111280488,,,1.2773613193,0.1801619433,0.0,0.2747873829,0.0584831521,0.027855528,0.0804176984,-0.05256217,0.0065938206,0.0,0.0065938206,0.0,0.333270535,0.0398051459,0.3178759823,0.5085835823,0.4687264506,0.4236462483,0.383349115,0.2835239275,0.8965363328,0.0405587254,0.0405587254,0.0,-0.060420928,-0.28837508,0.2728496071,1.3022479127,0.0443708905,0.2481698784,0.6636197133,1.7628102125,0.1504025928,0.463882011,0.1748592157,0.1485346701,8.0,-0.076396654,0.0207541262,0.0124510611,0.1683366733,0.4428035044,0.0889984642,0.0656118709,-0.010081559,-0.003817651,0.1849337927,,-0.31187665,-0.103141014,0.3289835419,2.7226373751,1.1001729503,-0.394169368,0.6036588093,0.7789953929,0.6727168147,0.7040747864,1.5274245344,0.2699429433,0.3632253203,-0.037790652,1.353193969,0.1098105011,0.5577089837,0.5849020713,1.2499552713,4.0,-8.360479392,34.26444466,100387.38988,-17.69147869,-0.228538513,0.0157157364,0.0616765765,0.0455785186,0.0,-0.028610654,0.0327787533,0.0129226006,0.0166491566,0.015681414,0.004943289,-0.002455045,0.0049300095,0.0191422744,0.0179871077,0.0800108799,18.768739114,1.2568133741,-0.175146075,-0.82986053,0.4596761624,0.8689970934,0.02572994,1.79789239,0.06184961,-0.32453093,0.02439361,1.29278875,0.02193858,0.53635141,0.04554668,0.09879671,0.02647598,1.64463372,0.00525094,1340116835.65137,0.52885185,0.00279722,0.50451445,0.00448649,0.00416116,1.266e-05,0.01867245,0.98006296,1.46688314,0.00385477,0.56317815,1.228124009,1.8997723528,180,1.1909617129,1.6821873198,-0.583514674,1.3366844919,2000-01,,0.0
AAPL,2000-02-29,20000229,14593,11,3,0.01398475,2000,2,B,0.0043,0.1005192754,3783310,APPLE COMPUTER,0.01,0.01,0.0,0.0079,103.75,16720.24625,0.0,0.1813703571,-0.166675103,0.0091185411,0.2831513222,0.8462401585,1.2350543084,1.4962063249,0.124430951,0.0322799263,-0.154779971,0.1102141214,0.061080356,0.0059917647,0.2033107951,0.0324861134,0.0217391304,-0.743589744,-0.735682819,-0.376182243,-0.298507463,-0.011238132,0.0,0.2094555319,-0.065684945,0.0056190661,-0.071304011,0.0552218562,0.0067816315,0.0484402248,-0.126719628,0.3361751599,0.0106568494,0.2900600659,0.0629279426,0.3450881612,0.1902732029,0.1340923466,0.1900695762,2.1685393258,0.0021313699,0.0021313699,0.0,-0.038170897,-0.327787022,0.2980042627,2.5590682196,0.0415015155,1.0972679713,1.2982010582,34.460674157,0.051190088,0.6250726603,0.0247445886,0.0075261611,7.0,-0.027512241,-0.035672651,,-0.113207547,-0.141388175,0.0366336634,0.0221159594,-0.031797583,-0.004115172,0.2794807208,0.8644280851,0.2576758775,0.2158994112,0.0634930249,-0.123851315,-0.659309696,0.0428837669,0.1830263465,0.4152483096,0.2546546547,0.228957799,1.1247920133,0.1546211974,0.1521023058,-0.026073603,1.6321948134,0.1008359038,0.7971071498,1.4825544958,1.0394614129,8.0,-4.78318812,5.5374207205,7317.416086,-13.21965358,0.1800518339,0.1585203933,0.3086677028,0.1891120473,0.0179423195,-0.174997423,0.3668606256,0.0359444467,0.0477265698,0.0449156064,0.0044855799,-0.000657885,0.0187796277,0.0129039309,0.034144671,0.5408741578,17.310597732,0.6179687822,0.1546454221,0.220627699,0.4695463985,0.8183362706,0.04432904,0.45857934,-0.26083627,0.65308175,0.03834335,-0.40306591,0.03302172,-0.60402123,0.07347457,0.10967742,0.0576505,0.05214903,0.00049485,212016766.586737,0.68007956,0.01710158,0.73396846,0.00026649,0.00024226,0.00016249,0.03415661,0.8806366,2.4723653,0.01632426,0.28900675,0.9803608937,1.8875417957,241,1.0621620538,1.222133548,0.6940387058,0.2350764977,2000-02,,0.0
MSFT,2000-02-29,20000229,10107,11,3,0.01272892,2000,2,B,0.0043,-0.091145465,59491810,MICROSOFT CP,0.22,0.2,0.01,0.215,97.875,505037.44688,0.0,0.0224111032,-0.022163685,-0.161670238,0.2613099134,0.3605243852,0.435818586,0.3342856911,0.0307142784,10.789473676,-0.142142862,0.0314725822,0.054995263,0.0572866143,0.5515663499,0.346755001,-0.04496124,,,1.3394413408,0.2914046122,0.0,0.2747873829,0.0584831521,0.0337517645,0.0475650333,-0.013813269,0.2798951401,0.0,0.2798951401,0.0,0.0,0.0379864892,0.3079249849,0.5122743337,0.4849011898,0.4077687034,0.3920289855,0.2731554677,0.8623572922,0.0440108893,0.0440108893,0.0,-0.028811252,-0.137827083,-0.028811252,-0.137827083,0.4864484337,0.2277676951,0.6418663111,1.6833896125,0.1495844875,0.476456947,0.1748592157,0.1485346701,8.0,0.4128436779,0.022018851,0.0124510611,0.1914893617,0.2840448366,0.0797945954,0.0589675961,-0.027765959,-0.01631084,0.1829602742,,-0.764496482,-0.066290845,0.2647863258,0.338609623,-0.098618631,-0.356628968,0.5879776292,0.752356369,0.6559744268,0.6326801987,1.5323767032,0.2378503731,0.3789574511,-0.066580774,1.3067193676,0.0978938786,0.5663321738,0.4092024759,1.175339278,3.0,-8.758991097,36.092509923,103600.23266,-20.77902821,-0.061942289,0.0100438312,0.078552591,0.0601143543,0.0,-0.037426928,0.0414583119,0.0164205646,0.0186837631,0.0174640515,0.0069460196,-0.003401728,0.0062015203,0.025585462,0.0244828886,0.0669269943,18.633796396,1.3366997121,-0.210798282,-0.459133114,0.4161824255,0.870367315,0.02389789,-0.92932749,0.15507618,0.63930188,0.02388069,-1.29843524,0.0217596,-0.99165632,0.02316878,0.04115942,0.02659693,-0.33505242,0.0048411,1412183567.05512,0.50095053,0.00286843,0.48136959,0.00470597,0.00440464,1.225e-05,0.01926959,0.82161595,1.19989634,0.01136864,0.56287571,1.1635116856,0.9767478588,181,1.188350909,1.6493288098,-0.582644406,1.3486812034,2000-02,,0.0
AAPL,2000-03-31,20000331,14593,11,3,0.0165462,2000,3,B,0.0047,0.1801418713,3783310,APPLE COMPUTER,0.01,0.01,0.0,0.0079,114.625,18472.850375,0.0,0.1813703571,-0.166675104,0.1048192754,0.0600255425,0.5900383027,1.3546098906,1.9802512925,0.5996409227,-0.110869872,0.0323159769,0.1168053303,0.0181712415,0.0067998596,0.2033107951,0.0324861134,0.0217391304,-0.743589744,-0.735682819,-0.376182243,-0.298507463,-0.011238132,0.0,0.2094555319,-0.065684945,0.0056190661,-0.071304011,0.0552218562,0.0067816315,0.0484402248,-0.126719628,0.3361751599,0.0106568494,0.2900600659,0.0629279426,0.3450881612,0.1902732029,0.1340923466,0.1900695762,2.1685393258,0.0021313699,0.0021313699,0.0,-0.038170897,-0.327787022,0.2980042627,2.5590682196,0.0415015155,1.0972679713,1.2982010582,34.460674157,0.051190088,0.6250726603,0.0247445886,0.0075261611,7.0,-0.027512241,-0.035672651,,-0.113207547,-0.141388175,0.0366336634,0.0221159594,-0.031797583,-0.004115172,0.2794807208,0.8644280851,0.2576758775,0.2158994112,0.0634930249,-0.123851315,-0.659309696,0.0428837669,0.1830263465,0.4152483096,0.2546546547,0.228957799,1.1247920133,0.1546211974,0.1521023058,-0.026073603,1.6321948134,0.1008359038,0.7971071498,1.4825544958,1.0394614129,8.0,-4.78318812,5.5374207205,7317.416086,-13.21965358,0.1800518339,0.1585203933,0.2793829807,0.1711701192,0.0162400493,-0.158394614,0.3320548738,0.032534232,0.043198531,0.0406542566,0.0040600123,-0.000595468,0.0169979182,0.0114492644,0.0302955254,0.6046710747,17.502503945,0.634726503,0.3250450374,0.1116869166,0.4727907521,0.8186786015,0.02850147,0.27464922,-0.24189297,1.15769137,0.03006202,0.27659904,0.02814152,-0.58910916,0.04790251,0.06494253,0.03372177,0.06615914,0.00156221,225271655.122625,0.61673882,0.01657897,0.76864433,0.00036937,0.00027486,0.00016425,0.0343209,0.96323529,2.46816096,0.01398475,0.29180042,0.9953350534,1.2374928799,242,1.0688475748,1.2192271287,0.6871163002,0.2560013371,2000-03,,0.0
MSFT,2000-03-31,20000331,10107,11,3,0.01116768,2000,3,B,0.0047,0.184111183,59491810,MICROSOFT CP,0.22,0.2,0.0,0.215,89.375,461177.23438,0.0,0.0224111032,-0.022163678,-0.086845465,0.0749956968,0.0573936385,0.2130131522,0.3039133868,0.1432139868,8.5317459704,0.1940049976,0.005940722,0.0425913082,0.0537961672,0.5515663499,0.346755001,-0.04496124,,,1.3394413408,0.2914046122,0.0,0.2747873829,0.0584831521,0.0337517645,0.0475650333,-0.013813269,0.2798951401,0.0,0.2798951401,0.0,0.0,0.0379864892,0.3079249849,0.5122743337,0.4849011898,0.4077687034,0.3920289855,0.2731554677,0.8623572922,0.0440108893,0.0440108893,0.0,-0.028811252,-0.137827083,-0.028811252,-0.137827083,0.4864484337,0.2277676951,0.6418663111,1.6833896125,0.1495844875,0.476456947,0.1748592157,0.1485346701,8.0,0.4128436779,0.022018851,0.0124510611,0.1914893617,0.2840448366,0.0797945954,0.0589675961,-0.027765959,-0.01631084,0.1829602742,,-0.764496482,-0.066290845,0.2647863258,0.338609623,-0.098618631,-0.356628968,0.5879776292,0.752356369,0.6559744268,0.6326801987,1.5323767032,0.2378503731,0.3789574511,-0.066580774,1.3067193676,0.0978938786,0.5663321738,0.4092024759,1.175339278,3.0,-8.758991097,36.092509923,103600.23266,-20.77902821,-0.061942289,0.0100438312,0.0860233269,0.0658315236,0.0,-0.040986412,0.0454012003,0.0179822406,0.0204606804,0.0191249683,0.0076066201,-0.003725249,0.0067913153,0.0281227594,0.0269108444,0.0778033082,18.567267009,1.3277724133,-0.022975598,-0.341006422,0.4194465357,0.8584237581,0.02043116,-0.4340558,-0.32585004,1.98157616,0.02093872,-0.1193078,0.01751137,0.28862186,0.03190465,0.05172414,0.02966214,-0.1766535,0.00497718,1464726203.54475,0.48627011,0.00290815,0.4765634,0.00510094,0.00474213,1.277e-05,0.01937457,0.75026233,1.30517891,0.01272892,0.56510688,1.1993636101,1.3246510603,182,1.1794180136,1.6503081015,-0.600239527,1.3446807073,2000-03,,0.0
AAPL,2000-05-31,20000531,14593,11,3,0.01396089,2000,5,B,0.005,-0.327921902,3783310,APPLE COMPUTER,0.01,0.01,0.0,0.008,124.0625,20182.4875,0.0,0.1925199938,-0.176068731,-0.086516336,0.3090361377,0.6950077865,1.4388327318,1.9524455849,0.376358682,0.2132592268,-0.042119566,0.1041185213,0.0280193384,0.0135137721,0.6520034843,0.114276305,0.8181818182,-0.4,-0.734513274,-0.232244157,0.4285714286,-0.001318218,0.0,0.2094555319,-0.005272871,0.0634062747,-0.068679146,0.2573161086,0.0891115212,0.1682045874,-0.086211442,0.0862114421,0.014764039,0.4174795676,0.067533619,0.2508568416,0.1559451621,0.0972732547,0.1222200735,0.4335863378,-0.002109148,-0.002109148,0.0,-0.041655682,-0.5,0.0445557606,0.5348101266,0.2295296167,0.8209860269,1.1113483331,6.4203036053,0.0484705187,0.4824677037,0.0247445886,0.0075261611,8.0,0.1644163763,-0.023954704,,1.0,0.3701754386,0.0578747628,0.0354582445,-0.033416528,1.87481e-05,0.1568151859,1.0039412306,0.0909511903,0.1309403488,0.1051213005,2.9592248549,-0.735471255,0.798099691,0.1888066202,0.4144163763,0.250998004,0.2576219512,1.2357594937,0.1249670446,0.1142894806,-0.061226335,1.4670276542,0.1022365005,0.618752966,1.0924953005,1.2925195993,6.0,-4.936023209,5.2650533834,7972.0409169,-15.16273951,0.1822335263,0.1405162066,0.3758704174,0.2562122236,0.0148643719,-0.166480965,0.3352906821,0.0313142768,0.0469714152,0.0430075827,0.0057475571,0.0007927665,0.0162517133,0.0626542299,0.0320404459,0.6696522761,16.878258551,0.7310224739,0.3138067066,0.1632835389,0.4410036002,0.8089947182,0.04089582,0.40860759,0.6598522,0.38132557,0.04077701,0.15517869,0.03267937,-0.29378344,0.06222045,0.10726257,0.05014538,0.51715459,0.00062414,219643296.98875,0.51821666,0.0124232,0.51171396,0.00094226,0.00038484,0.00017477,0.03504968,0.86042479,1.68278662,0.02739884,0.31885913,0.9798786949,1.5152080309,244,0.0930517769,0.8799580766,-0.700380787,0.2743711189,2000-05,,0.0
MSFT,2000-05-31,20000531,10107,11,3,0.00821095,2000,5,B,0.005,-0.108046596,59491810,MICROSOFT CP,0.23,0.21,0.01,0.22,69.75,367052.74875,0.0,0.0426967508,-0.04181039,-0.343529403,0.085568323,0.1478730403,0.2381645825,0.3066871417,0.1137586472,6.9571864841,-0.007686395,0.0010057889,0.0115320175,0.0525948367,0.5006489401,0.2738240951,0.13354531,,,1.3163751987,0.4090909091,0.0,0.2747873829,0.0584831521,0.0355931076,0.0672609939,-0.031667886,0.3289424079,0.0,0.3289424079,-0.021732863,0.0217328632,0.0280087819,0.2880934957,0.4991077557,0.4511564988,0.3602332956,0.3539275492,0.2528549539,0.6513794339,-0.018982991,-0.018982991,0.0,-0.015235181,-0.078550194,0.0064976826,0.033501029,0.5572897601,0.2131816468,0.5816986506,1.3050877822,0.1516815374,0.3956933449,0.1748592157,0.1485346701,8.0,0.4461046957,0.0196345968,0.0124510611,0.2940108893,0.1765158807,0.0802371542,0.0614035088,-0.029055174,-0.016151343,0.1705054,,-0.667177225,-0.027661406,0.1099587607,-0.426029835,-0.52766747,-0.260554017,0.5177210556,0.6770275217,0.5668117418,0.5405837133,1.5261833981,0.2091898964,0.344998115,-0.066060528,1.3036803608,0.0900516579,0.4940002883,0.5045647289,1.0819744417,3.0,-8.379851915,36.586427772,105015.78637,-19.31489053,-0.294647581,0.015087465,0.1228515524,0.0942344121,0.0,-0.048611542,0.0595418508,0.0238276379,0.0256993035,0.0237568034,0.0192261195,0.0024056488,0.0090313995,0.0479539877,0.0350562951,0.0776266382,18.313052604,1.5446318523,-0.045857178,-0.224468329,0.4053664412,0.8467550613,0.04363409,-2.17036473,0.508959,0.57553829,0.0401095,-1.65506457,0.03197606,-0.85959443,0.03778574,0.06177924,0.05604895,-1.18727772,0.00243264,1853347651.58969,0.50258007,0.00377615,0.5572526,0.00455902,0.00464042,1.265e-05,0.02364493,0.58551941,1.09165438,0.01068244,0.57442835,1.2492968143,1.3002016611,184,0.9903367683,1.6100566261,-0.982859396,1.3723878372,2000-05,,0.0
AAPL,2000-06-30,20000630,14593,11,3,0.02403324,2000,6,B,0.004,0.243023806,3783310,APPLE COMPUTER,0.01,0.01,0.0,0.008,84.0,13670.496,0.0,0.1929891436,-0.176462045,-0.322921902,0.0823336943,0.2675606589,0.9013409751,1.8156027799,0.8184396918,0.0664551243,0.0510638282,0.0701198186,-0.036067845,0.016343104,0.6520034843,0.114276305,0.8181818182,-0.4,-0.734513274,-0.232244157,0.4285714286,-0.001318218,0.0,0.2094555319,-0.005272871,0.0634062747,-0.068679146,0.2573161086,0.0891115212,0.1682045874,-0.086211442,0.0862114421,0.014764039,0.4174795676,0.067533619,0.2508568416,0.1559451621,0.0972732547,0.1222200735,0.4335863378,-0.002109148,-0.002109148,0.0,-0.041655682,-0.5,0.0445557606,0.5348101266,0.2295296167,0.8209860269,1.1113483331,6.4203036053,0.0484705187,0.4824677037,0.0247445886,0.0075261611,8.0,0.1644163763,-0.023954704,,1.0,0.3701754386,0.0578747628,0.0354582445,-0.033416528,1.87481e-05,0.1568151859,1.0039412306,0.0909511903,0.1309403488,0.1051213005,2.9592248549,-0.735471255,0.798099691,0.1888066202,0.4144163763,0.250998004,0.2576219512,1.2357594937,0.1249670446,0.1142894806,-0.061226335,1.4670276542,0.1022365005,0.618752966,1.0924953005,1.2925195993,6.0,-4.936023209,5.2650533834,7972.0409169,-15.16273951,0.1822335263,0.1405162066,0.5549176855,0.3782598671,0.0219450706,-0.245784791,0.4950076427,0.0462309488,0.0693464231,0.0634944043,0.0084854273,0.0011704038,0.0239932772,0.1022259259,0.0522768255,0.6902357165,15.708774568,0.8784400491,0.2980701954,-0.155553778,0.4430695684,0.8170558408,0.02721127,-0.51600665,-0.27930503,1.53999308,0.02818265,-0.3208068,0.02824169,-0.33420596,0.03446662,0.04680851,0.0356823,0.45007473,0.00032062,224383030.148376,0.48427182,0.01256108,0.49084536,0.00083095,0.00037798,0.00017777,0.03525286,0.58257477,1.71917128,0.01396089,0.33269221,0.988390622,0.8353931438,245,0.0733584272,0.8739449508,-0.690236113,0.2438872139,2000-06,,0.0
MSFT,2000-06-30,20000630,10107,11,3,0.00788583,2000,6,B,0.004,0.2747212729,59491810,MICROSOFT CP,0.21,0.21,0.0,0.22,62.5625,329229.21281,0.0,0.0426967508,-0.041810392,-0.103046596,-0.219580413,-0.233911105,-0.246455101,-0.135553837,0.1471727336,6.6221401501,0.1177381873,-0.019065555,0.0939273881,0.0441130049,0.5006489401,0.2738240951,0.13354531,,,1.3163751987,0.4090909091,0.0,0.2747873829,0.0584831521,0.0355931076,0.0672609939,-0.031667886,0.3289424079,0.0,0.3289424079,-0.021732863,0.0217328632,0.0280087819,0.2880934957,0.4991077557,0.4511564988,0.3602332956,0.3539275492,0.2528549539,0.6513794339,-0.018982991,-0.018982991,0.0,-0.015235181,-0.078550194,0.0064976826,0.033501029,0.5572897601,0.2131816468,0.5816986506,1.3050877822,0.1516815374,0.3956933449,0.1748592157,0.1485346701,8.0,0.4461046957,0.0196345968,0.0124510611,0.2940108893,0.1765158807,0.0802371542,0.0614035088,-0.029055174,-0.016151343,0.1705054,,-0.667177225,-0.027661406,0.1099587607,-0.426029835,-0.52766747,-0.260554017,0.5177210556,0.6770275217,0.5668117418,0.5405837133,1.5261833981,0.2091898964,0.344998115,-0.066060528,1.3036803608,0.0900516579,0.4940002883,0.5045647289,1.0819744417,3.0,-8.379851915,36.586427772,105015.78637,-19.31489053,-0.294647581,0.015087465,0.1369653671,0.1050605434,0.0,-0.054196284,0.0663823232,0.0265650789,0.028651771,0.0264861065,0.0214349144,0.002682022,0.0100689728,0.0537788743,0.0393145216,0.0782157043,18.195837536,1.5735369006,-0.303042236,-0.350109918,0.4070780953,0.7844244768,0.01847066,0.13077643,0.06792784,0.70407972,0.0190735,-0.21809406,0.01931755,-0.29919745,0.03225959,0.05286738,0.02745233,0.08977658,0.00371828,1755327793.07837,0.5166705,0.00368693,0.53751525,0.00458151,0.00464286,1.458e-05,0.02386527,0.52518363,1.05411338,0.00821095,0.57971776,1.2376855166,1.0880360805,185,0.9870042937,1.6049388085,-0.975333637,1.3820275453,2000-06,,0.0
